id;nom;prenom;surnom;birth;death;pays;pseudo;slug
213;Marssignac;Paul-Serge;NULL;24/12/1937 00:00;08/02/2007 00:00;NULL;NULL;
214;Corbeyran;Éric;Corbeyran-dargaud.jpg;14/12/1964 00:00;NULL;FRANCE;NULL;
215; Lucas;Erwan;NULL;08/02/1977 00:00;NULL;FRANCE;Obion;
216;Delobel;Anne;NULL;01/01/1949 00:00;NULL;NULL;NULL;
217;Pedrosa;Cyril;PEDROSA.jpg;22/11/1972 00:00;NULL;FRANCE;NULL;
218;Leialoha;Steve;NULL;27/01/1952 00:00;NULL;USA;NULL;
219;Klein;Todd;KleinTodd.jpg;NULL;NULL;ÉTATS-UNIS;NULL;
220;Maleev;Alex;MaleevAlex.jpg;01/01/1971 00:00;NULL;BULGARIE;NULL;
221;Jean;James;NULL;NULL;NULL;NULL;NULL;
222;Hamilton;Craig;NULL;NULL;NULL;NULL;NULL;
223;Wiesenfeld;Aron;NULL;NULL;NULL;NULL;NULL;
224;Talbot;Bryan;NULL;24/02/1952 00:00;NULL;ANGLETERRE;NULL;
225;Medley;Linda;NULL;NULL;NULL;NULL;NULL;
226;Russell;Paul Craig;NULL;NULL;NULL;ÉTATS-UNIS;NULL;
227;Kindzierski;Lovern;NULL;NULL;NULL;USA;NULL;
228;Palmiotti;James;Jimmy_Palmiotti.jpg;16/08/1961 00:00;NULL;ÉTATS-UNIS;Palmiotti, Jimmy;
229;Hahn;David;NULL;NULL;NULL;NULL;NULL;
230;Green;Dan;Green-Dan.jpg;NULL;NULL;NULL;NULL;
231;Pepoy;Andrew;NULL;NULL;NULL;NULL;NULL;
232;Fern;Jim;NULL;NULL;NULL;NULL;NULL;
233;Loughridge;Lee;NULL;NULL;NULL;USA;NULL;
234;McManus;Shawn;NULL;NULL;NULL;ÉTATS-UNIS;NULL;
235;Allred;Laura;allredlaura.jpg;NULL;NULL;NULL;NULL;
236;De La Cruz;Eva;NULL;NULL;NULL;NULL;NULL;
237;Alexovich;Aaron;NULL;01/01/1977 00:00;NULL;U.S.A.;NULL;
238;Mineo;Yoneyama;Yoneyama_21032008_115719.jpg;01/01/1951 00:00;NULL;JAPON;Yumemakura, Baku;
239;Niffle;Frédéric;NiffleFrederic.jpg;NULL;NULL;NULL;NULL;
240;Chollet;Sylvain;NULL;NULL;NULL;NULL;NULL;
241; Cosandey;Bernard;cosey.jpg;14/06/1950 00:00;NULL;SUISSE;Cosey;
242;Denis;Jean-Claude;denis.jpg;01/01/1951 00:00;NULL;FRANCE;NULL;
243;Sattouf;Riad;sattouf.jpg;05/05/1978 00:00;NULL;FRANCE;NULL;
244; Vasseur;Didier;tronchet.jpg;29/09/1958 00:00;NULL;FRANCE;Tronchet;
245;Giroud;Frank;Giroud.jpg;03/05/1956 00:00;NULL;FRANCE;NULL;
246;Meyer;Ralph;meyer_ralph.jpeg;11/08/1971 00:00;NULL;FRANCE;NULL;
247;Delabie;Caroline;NULL;NULL;NULL;NULL;NULL;
248;Fogolin;Dimitri;NULL;NULL;NULL;NULL;NULL;
249;Ferté;Ségolène;NULL;NULL;NULL;NULL;NULL;
250;Ruiz;Anne-Marie;NULL;NULL;NULL;NULL;NULL;
251;Minguez;Jean-Marie;09_100.jpg;01/01/1977 00:00;NULL;FRANCE;NULL;
