57;2;Dans le jeu des miroirs;Vents d'Ouest;2-86967-552-6;mangecoeur02a.JPG;48;4;slug
58;3;Le Rêve d'Argemme;Vents d'Ouest;2-86967-532-1;mangecoeur03a.JPG;48;3;slug
60;NULL;Black Hole;Delcourt;2-7560-0379-4;BlackHolein_11112006.jpg;361;7;slug
61;5;Spirit;Les Humanoïdes Associés;2-7316-0045-4;spiritle05.jpg;60;5;slug
62;1;The hard goodbye;Dark horse books;1-593-07293-7;SinCity1_16032008_163359.jpg;200;4;slug
63;4;That yellow bastard;Dark horse books;1-593-07296-1;SinCity4_16032008_163353.jpg;223;2;slug
64;5;Family values;Dark horse books;1-593-07297-X;SinCity5_16032008_163347.jpg;126;5;slug
65;2;A dame to kill for;Dark horse books;1-593-07293-7;SinCity1_16032008_163359.jpg;200;1;slug
66;3;The big fat kill;Dark horse books;1-593-07293-7;SinCity1_16032008_163359.jpg;200;1;slug
67;6;Booze, broads and bullets;Dark horse books;NULL;SinCity1_16032008_163359.jpg;200;4;slug
68;7;Hell and back;Dark horse books;NULL;SinCity1_16032008_163359.jpg;200;2;slug
69;NULL;NonNonBâ;Cornélius;2-915492-25-5;Nonnonba_09102006.jpg;420;3;slug
70;NULL;Le Gourmet Solitaire;Casterman;2-203-37334-2;GourmetSolitaireLe.jpg;198;4;slug
71;2;Paul a un travail d'été;Les éditions de la Pastèque;2-922585-08-5;paul02.jpg;152;6;slug
72;3;Paul en appartement;Les éditions de la Pastèque;2-922585-22-0;Paul3_23062004.jpg;104;7;slug
73;4;Paul dans le métro;Les éditions de la Pastèque;2-922585-27-1;Paul4_24042005_46320.jpg;91;8;slug
74;1;Paul à la campagne;Les éditions de la pastèque;978-2-922585-01-8;Paul1a_24022008_153143.jpg;48;3;slug
75;1;Celui qui parle aux fantômes;Soleil Productions;2-84565-412-X;SagahNah01_17122002.jpg;44;1;slug
76;2;La confrérie des Tueurs de Monstres;Soleil Productions;2-84565-783-8;sagahnah02couv.jpg;46;2;slug
77;NULL;Le moral des troupes;Mécanique Générale;2-922827-14-3;MoralDesTroupesLe_24042005.jpg;158;4;slug
78;NULL;Réédition très très augmentée;Les 400 Coups;2-922827-27-5;QuelquesPeluresb_24122006.jpg;126;5;slug
79;NULL;Résine de synthèse;Mécanique Générale;2-922827-03-8;ResineDeSynthese_24042005.jpg;90;2;slug
81;NULL;Guide de la survie en Entreprise;Audie;2-85815-434-1;GuideDeLaSurvieEnEntreprise_13052005.jpg;45;2;slug
82;1;Sigmund Freud - Le temps de chien;Dargaud;2-205-05291-8;UneAventureRocambolesqueDe01.jpg;46;3;slug
83;1;Les cosmonautes du futur;Dargaud;2-205-04913-5;cosmonautesdufutur1.jpg;46;2;slug
84;2;Le retour;Dargaud;2-205-05078-8;cosmonautesdufutur2.jpg;46;3;slug
85;3;Résurrection;Dargaud;2-205-05293-4;cosmonautesdufutur03_08012004.jpg;46;4;slug
88;1;Total souk pour Nic Oumouk;Dargaud;2-205-05686-7;nicoumouk01_45629.jpg;46;5;slug
89;1;La vraie vie;Dargaud;2-205-05819-3;RetourALaTerreLe1b_13082005.jpg;46;6;slug
90;4;Le déluge;Dargaud;2-205-05814-2;RetourALaTerreLe4_31082006.jpg;46;7;slug
91;1;Le combat ordinaire;Dargaud;2-205-05425-2;combatordinaire01.jpg;50;2;slug
92;2;Les quantités négligeables;Dargaud;2-205-05589-5;combatordinaire02.jpg;60;4;slug
93;3;Ce qui est précieux;Dargaud;2-205-05791-X;CombatOrdinaireLe03.jpg;60;5;slug
94;4;Planter des clous;Dargaud;978-2-205-06140-6;combatordinaire04_72375.jpg;60;6;slug
95;7;La java bleue;L'Association;2-84414-180-3;Pascinhs_29112005.jpg;74;2;slug
96;NULL;La fille du professeur;Dupuis;2-8001-3454-2;filleduprofesseura_15102003.jpg;60;4;slug
97;1;La Bar-Mitsva;Dargaud;2-205-05820-7;chatdurabin01libe.jpg;46;3;slug
98;2;Le Malka des Lions;Dargaud;2-205-05369-8;chatdurabin02_07112002.jpg;46;2;slug
99;3;L'exode;Dargaud;2-205-05497-X;chatdurabbin03.JPG;46;2;slug
100;4;Le Paradis Terrestre;Dargaud;2-205-05725-1;chatdurabbin04couv.JPG;48;5;slug
101;5;Jérusalem d'Afrique;Dargaud;2-205-05868-1;ChatDuRabbinLe05.jpg;80;6;slug
102;1;Chez Francisque;Audie;2-85815-497-X;chezfrancisque01_58611.jpg;48;7;slug
103;2;Les nuits les plus blanches;Les Humanoïdes Associés;2-7316-0986-9;monsieurjean02.jpg;45;1;slug
104;3;La fuite des cerveaux;Dargaud;2-205-05867-3;Supermurgeman3_07102006.jpg;48;2;slug
105;12;La vie comme elle vient;Dargaud;2-205-05385-X;FormidablesAventuresDeLapinotLes8_03072004.jpg;44;3;slug
106;9;Vacances de printemps;Dargaud;2-205-04669-1;lapinot05.jpg;46;2;slug
107;5;Pichenettes;Dargaud;978-2-205-06000-3;LapinotLesFormidablesAventuresDe2a_22012007.jpg;46;1;slug
108;1;La Vierge du bordel;Dargaud;2-205-05811-8;misspastouche01couv.JPG;46;5;slug
